2025-02-14 10:49:37,804 INFO    StreamThr :8266 [internal.py:wandb_internal():86] W&B internal server running at pid: 8266, started at: 2025-02-14 10:49:37.803898
2025-02-14 10:49:37,805 DEBUG   HandlerThread:8266 [handler.py:handle_request():146] handle_request: status
2025-02-14 10:49:37,806 INFO    WriterThread:8266 [datastore.py:open_for_write():87] open: /home/chase/d501/lesson-2-data-exploration-and-preparation/exercises/exercise_4/starter/wandb/run-20250214_104937-o7nfdosx/run-o7nfdosx.wandb
2025-02-14 10:49:37,807 DEBUG   SenderThread:8266 [sender.py:send():378] send: header
2025-02-14 10:49:37,863 DEBUG   SenderThread:8266 [sender.py:send():378] send: run
2025-02-14 10:49:38,031 DEBUG   HandlerThread:8266 [handler.py:handle_request():146] handle_request: check_version
2025-02-14 10:49:38,031 INFO    SenderThread:8266 [dir_watcher.py:__init__():211] watching files in: /home/chase/d501/lesson-2-data-exploration-and-preparation/exercises/exercise_4/starter/wandb/run-20250214_104937-o7nfdosx/files
2025-02-14 10:49:38,031 INFO    SenderThread:8266 [sender.py:_start_run_threads():1099] run started: o7nfdosx with start time 1739551777.804476
2025-02-14 10:49:38,031 DEBUG   SenderThread:8266 [sender.py:send_request():405] send_request: check_version
2025-02-14 10:49:38,136 DEBUG   HandlerThread:8266 [handler.py:handle_request():146] handle_request: run_start
2025-02-14 10:49:38,154 DEBUG   HandlerThread:8266 [system_info.py:__init__():26] System info init
2025-02-14 10:49:38,154 DEBUG   HandlerThread:8266 [system_info.py:__init__():41] System info init done
2025-02-14 10:49:38,154 INFO    HandlerThread:8266 [system_monitor.py:start():194] Starting system monitor
2025-02-14 10:49:38,154 INFO    SystemMonitor:8266 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-02-14 10:49:38,155 INFO    HandlerThread:8266 [system_monitor.py:probe():214] Collecting system info
2025-02-14 10:49:38,155 INFO    SystemMonitor:8266 [interfaces.py:start():190] Started cpu monitoring
2025-02-14 10:49:38,156 INFO    SystemMonitor:8266 [interfaces.py:start():190] Started disk monitoring
2025-02-14 10:49:38,157 INFO    SystemMonitor:8266 [interfaces.py:start():190] Started gpu monitoring
2025-02-14 10:49:38,158 INFO    SystemMonitor:8266 [interfaces.py:start():190] Started memory monitoring
2025-02-14 10:49:38,159 INFO    SystemMonitor:8266 [interfaces.py:start():190] Started network monitoring
2025-02-14 10:49:38,167 DEBUG   HandlerThread:8266 [system_info.py:probe():150] Probing system
2025-02-14 10:49:38,179 DEBUG   HandlerThread:8266 [system_info.py:_probe_git():135] Probing git
2025-02-14 10:49:38,182 DEBUG   HandlerThread:8266 [system_info.py:_probe_git():143] Probing git done
2025-02-14 10:49:38,182 DEBUG   HandlerThread:8266 [system_info.py:probe():198] Probing system done
